dataset_name,algorithm,train_seed,num_updates,final_train_loss,eval_episodes,avg_return,success_rate,avg_episode_length,checkpoint_path,status,notes
envA_v2_small_narrow_medium,cql,19,5000,0.593816,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed19.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,bc,0,5000,0.569696,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed0.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,1,5000,0.550790,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed1.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,2,5000,0.581744,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed2.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,3,5000,0.599619,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed3.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,4,5000,0.648405,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed4.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,5,5000,0.585130,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed5.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,6,5000,0.536666,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed6.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,7,5000,0.561444,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed7.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,8,5000,0.497149,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed8.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,9,5000,0.482943,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed9.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,10,5000,0.503883,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed10.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,11,5000,0.612503,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed11.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,12,5000,0.559719,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed12.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,13,5000,0.549782,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed13.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,14,5000,0.522182,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed14.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,15,5000,0.560266,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed15.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,16,5000,0.568777,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed16.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,17,5000,0.489565,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed17.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,18,5000,0.575214,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed18.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,19,5000,0.580740,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed19.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,cql,0,5000,0.648711,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed0.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,1,5000,0.641703,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed1.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,2,5000,0.672422,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed2.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,3,5000,0.672322,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed3.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,4,5000,0.710187,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed4.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,5,5000,0.695804,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed5.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,6,5000,0.649695,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed6.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,7,5000,0.650016,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed7.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,8,5000,0.611636,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed8.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,9,5000,0.601320,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed9.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,10,5000,0.618693,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed10.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,11,5000,0.682448,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed11.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,12,5000,0.646125,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed12.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,13,5000,0.642749,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed13.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,14,5000,0.654536,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed14.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,15,5000,0.652733,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed15.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,16,5000,0.667653,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed16.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,17,5000,0.618813,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed17.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,18,5000,0.660998,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed18.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,cql,19,5000,0.656525,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_cql_seed19.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,0,5000,0.568403,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed0.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,1,5000,0.466342,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed1.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,2,5000,0.538944,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed2.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,3,5000,0.465764,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed3.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,4,5000,0.498428,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed4.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,5,5000,0.496129,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed5.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,6,5000,0.477680,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed6.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,7,5000,0.459834,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed7.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,8,5000,0.512466,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed8.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,9,5000,0.462752,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed9.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,10,5000,0.469241,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed10.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,11,5000,0.471366,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed11.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,12,5000,0.513266,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed12.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,13,5000,0.490312,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed13.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,14,5000,0.509667,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed14.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,15,5000,0.475629,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed15.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,16,5000,0.501209,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed16.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,17,5000,0.526323,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed17.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,18,5000,0.490087,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed18.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,bc,19,5000,0.456273,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_bc_seed19.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,0,5000,0.655681,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed0.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,1,5000,0.593240,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed1.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,2,5000,0.637228,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed2.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,3,5000,0.599368,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed3.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,4,5000,0.612546,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed4.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,5,5000,0.617674,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed5.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,6,5000,0.604696,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed6.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,7,5000,0.593723,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed7.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,8,5000,0.616271,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed8.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,9,5000,0.599549,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed9.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,10,5000,0.599213,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed10.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,11,5000,0.602472,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed11.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,12,5000,0.621538,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed12.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,13,5000,0.612341,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed13.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,14,5000,0.625922,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed14.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,15,5000,0.604314,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed15.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,16,5000,0.616653,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed16.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,17,5000,0.629166,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed17.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,18,5000,0.611324,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed18.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_narrow_medium,cql,19,5000,0.589882,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_large_narrow_medium_cql_seed19.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
